snt_id,sdr,sdr_i,si-snr,si-snr_i
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_09630.wav,6.947737693786621,6.907718658447266,5.033602237701416,5.159770965576172
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_18491.wav,12.371238708496094,12.379647254943848,12.004972457885742,12.050702095031738
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_10608.wav,11.442086219787598,11.745899200439453,10.906890869140625,11.258666038513184
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_15116.wav,7.64940071105957,7.726934432983398,6.906376361846924,7.045652866363525
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_23837.wav,10.480646133422852,10.526503562927246,9.724544525146484,9.80739974975586
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_18847.wav,13.865084648132324,14.043468475341797,13.57236099243164,13.807584762573242
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_23230.wav,6.830986976623535,6.970317840576172,4.595525741577148,4.863819122314453
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_24256.wav,14.391380310058594,14.479829788208008,13.99043083190918,14.090335845947266
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_19185.wav,15.755666732788086,15.684736251831055,15.067036628723145,15.102805137634277
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_14382.wav,10.915647506713867,11.028733253479004,10.19855785369873,10.366439819335938
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_16995.wav,11.180976867675781,11.281889915466309,10.76271915435791,10.917527198791504
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_22149.wav,11.164532661437988,11.333110809326172,9.302825927734375,9.545892715454102
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_13697.wav,11.942710876464844,11.984488487243652,11.008508682250977,11.081198692321777
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_00600.wav,8.569608688354492,8.69920825958252,7.718869209289551,7.889194965362549
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_06488.wav,11.884779930114746,11.868542671203613,11.350255966186523,11.418306350708008
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_16709.wav,17.066364288330078,17.07944107055664,16.667654037475586,16.766029357910156
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_24686.wav,12.01550006866455,12.255358695983887,11.405752182006836,11.694998741149902
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_01053.wav,11.729904174804688,11.793034553527832,11.037181854248047,11.117834091186523
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_11975.wav,10.601383209228516,10.947722434997559,8.7724027633667,9.151802062988281
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_06972.wav,14.224812507629395,14.239471435546875,13.479536056518555,13.563400268554688
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_17645.wav,13.882377624511719,13.850008010864258,13.420256614685059,13.433338165283203
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_02865.wav,10.829325675964355,10.988795280456543,10.178380012512207,10.398777961730957
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_16437.wav,13.429227828979492,13.370916366577148,12.842296600341797,12.824005126953125
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_18703.wav,9.122658729553223,9.29044246673584,8.62489128112793,8.841248512268066
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_11279.wav,19.053787231445312,19.115251541137695,18.636775970458984,18.741741180419922
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_01526.wav,11.71954345703125,11.87161636352539,11.358060836791992,11.557123184204102
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_22485.wav,14.461031913757324,14.417497634887695,13.908241271972656,13.921008110046387
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_03499.wav,15.29200553894043,15.347752571105957,14.447331428527832,14.522189140319824
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_12638.wav,11.70042610168457,11.958844184875488,10.998380661010742,11.310609817504883
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_22556.wav,0.17437958717346191,0.05163748562335968,-0.41100525856018066,-0.4241114854812622
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_15807.wav,16.661460876464844,16.710512161254883,16.13593292236328,16.208694458007812
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_25495.wav,9.299164772033691,9.270326614379883,8.662800788879395,8.725309371948242
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_03515.wav,12.495246887207031,12.482926368713379,11.954187393188477,11.995948791503906
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_04295.wav,10.389342308044434,10.468145370483398,9.91441822052002,10.074116706848145
/home/kaloori.shiva/Thesis/TIGER/DataPreProcess/EchoSet/test/mix_17484.wav,8.772710800170898,6.49893856048584,6.237700939178467,7.2932586669921875
